Falla,Enlace,lat,lon
Falla Plaza del Mercado Central,"https://www.google.com/maps/place/Falla+Pla%C3%A7a+del+Mercat/@39.4735435,-0.3806215,17z/data=!3m1!4b1!4m6!3m5!1s0xd604f8a2c7f6187:0x560ca4048b28f7cc!8m2!3d39.4735435!4d-0.3780466!16s%2Fg%2F11rtqtf01l?entry=tts",39.4735435,-0.3806215
Falla Llanterna-Na Rovella-Avda. de l’Oest,"https://www.google.com/maps/place/Falla+Llanterna+-+Na+Rovella+-+Avda.+de+l'Oest/@39.4723759,-0.3831318,17z/data=!3m1!4b1!4m6!3m5!1s0xd604f4c2de46fb1:0xab127c909aa31f45!8m2!3d39.4723759!4d-0.3805569!16s%2Fg%2F11xfbl9wn?entry=tts",39.4723759,-0.3831318
Falla Plaza de la Merced,"https://www.google.com/maps/place/Falla+Plaza+de+la+Merced/@39.4727565,-0.3827294,16z/data=!3m1!4b1!4m6!3m5!1s0xd604f4c4da55555:0xd70f0adcd3559638!8m2!3d39.4727566!4d-0.3778585!16s%2Fg%2F11g6tzhf0z?entry=tts",39.4727565,-0.3827294
Falla Quart-Palomar,"https://www.google.com/maps/place/Falla+Quart+i+Palomar/@39.4753138,-0.3874076,17z/data=!3m1!4b1!4m6!3m5!1s0xd604f23dc1e0a17:0xae853c749cd2ae05!8m2!3d39.4753138!4d-0.3848327!16s%2Fg%2F11jmz173b1?entry=tts",39.4753138,-0.3874076
Falla Grabador Esteve-Cirilo Amorós,"https://www.google.com/maps/place/Falla+Grabador+Esteve/@39.4695063,-0.3691197,17z/data=!3m1!4b1!4m6!3m5!1s0xd6049d29002dca3:0x46c6128287348bf6!8m2!3d39.4695063!4d-0.3665448!16s%2Fg%2F11srry_jrq?entry=tts",39.4695063,-0.3691197
Falla San Vicente-Periodista Azzati,"https://www.google.com/maps/place/Falla+Sant+Vicent+-+Periodista+Azzati/@39.4695129,-0.3802607,17z/data=!3m1!4b1!4m6!3m5!1s0xd604f2f0752eb45:0x25f07b2435879252!8m2!3d39.4695129!4d-0.3776858!16s%2Fg%2F11srl6w50b?entry=tts",39.4695129,-0.3802607
Falla Quart-Extramurs-Velázquez,"https://www.google.com/maps/place/Associaci%C3%B3+Cultural+Falla+Quart+Extramurs/@39.4728369,-0.4073355,17z/data=!3m1!4b1!4m6!3m5!1s0xd604f6fcd4e373f:0x671432688b167ede!8m2!3d39.472837!4d-0.4024646!16s%2Fg%2F11ddz03191?entry=tts",39.4728369,-0.4073355
Falla Arzobispo Olaechea-San Marcelino,"https://www.google.com/maps/place/Casal+Falla+Arzobispo+Olaechea+-+San+Marcelino/@39.443569,-0.3932229,17z/data=!3m1!4b1!4m6!3m5!1s0xd604ed8b069db01:0xa6e3961658576a31!8m2!3d39.4435691!4d-0.388352!16s%2Fg%2F12qgmd3hm?entry=tts",39.443569,-0.3932229
Falla Justo Vilar-Mercado del Cabañal,"https://www.google.com/maps/place/Falla+Just+Vilar-Mercat+del+Cabanyal/@39.4669415,-0.3357606,17z/data=!3m1!4b1!4m6!3m5!1s0xd604860c5c8ad0f:0x2aa99658b91a51a6!8m2!3d39.4669415!4d-0.3331857!16s%2Fg%2F11cn2_c75p?entry=tts",39.4669415,-0.3357606
Falla Islas Canarias-Trafalgar-Samuel Ros,"https://www.google.com/maps/place/Falla+Islas+Canarias+Trafalgar+Samuel+Ros/@39.4637346,-0.3492702,17z/data=!3m1!4b1!4m6!3m5!1s0xd6048ed619c638b:0x6909e6458d7d0ce!8m2!3d39.4637346!4d-0.3466953!16s%2Fg%2F1hc1szpmv?entry=tts",39.4637346,-0.3492702
Falla Ribera-Convento Santa Clara,"https://www.google.com/maps/place/Falla+Ribera+i+Convent+de+Santa+Clara/@39.4686087,-0.3785048,17z/data=!3m2!4b1!5s0xd6048b5104d8829:0x8ece6978561adb3e!4m6!3m5!1s0xd604f4b3dd1c639:0xf7a4453d5cad7dfe!8m2!3d39.4686087!4d-0.3759299!16s%2Fg%2F1hc3qz05y?entry=tts",39.4686087,-0.3785048
Falla Jerónima Galés-Litógrafo Pascual y Abad,"https://www.google.com/maps/place/Falla+Jer%C3%B2nima+Gales+-+Lit%C3%B2graf+Pascual+i+Abad/@39.4517827,-0.3948891,17z/data=!3m1!4b1!4m6!3m5!1s0xd604f7b5b3f0bbf:0x5cae9d8b5e0a2858!8m2!3d39.4517827!4d-0.3923142!16s%2Fg%2F11mv4w1q0_?entry=tts",39.4517827,-0.3948891
Falla Santa Genoveva Torres-Arquitecte Tolsà (la Nova de Orriols),"https://www.google.com/maps/place/Falla+Santa+Genoveva+Torres+-+Arquitecte+Tols%C3%A0+-+Alfahuir+-+La+Nova+d'Orriols/@39.4927509,-0.3660547,16z/data=!3m1!4b1!4m6!3m5!1s0xd60461b0de4cadb:0x413d2b21b63d6851!8m2!3d39.4927509!4d-0.3634798!16s%2Fg%2F11bzrhn16q?entry=tts",39.4927509,-0.3660547
