ori,des,osrm_dist,route_geometry
Falla San Vicente-Periodista Azzati,Falla Llanterna-Na Rovella-Avda. de l’Oest,695.8,"[[-0.380499, 39.469614], [-0.380673, 39.469371], [-0.380698, 39.469337], [-0.381158, 39.468816], [-0.381253, 39.468719], [-0.38147, 39.468829], [-0.382002, 39.469236], [-0.382633, 39.469727], [-0.382676, 39.469761], [-0.383378, 39.470317], [-0.383415, 39.470344], [-0.383482, 39.470368], [-0.383563, 39.470564], [-0.383583, 39.4706], [-0.383605, 39.47064], [-0.383924, 39.471568], [-0.383948, 39.471693], [-0.38399, 39.471919], [-0.383994, 39.472133], [-0.383995, 39.472187], [-0.383996, 39.47246], [-0.3839, 39.472472], [-0.383154, 39.472534]]"
Falla Llanterna-Na Rovella-Avda. de l’Oest,Falla Plaza de la Merced,39.0,"[[-0.383154, 39.472534], [-0.382703, 39.472571]]"
Falla Plaza de la Merced,Falla Ribera-Convento Santa Clara,778.4,"[[-0.382703, 39.472571], [-0.38234, 39.472601], [-0.382318, 39.472603], [-0.381767, 39.472648], [-0.380832, 39.472726], [-0.380771, 39.472731], [-0.380312, 39.472743], [-0.380221, 39.47275], [-0.379958, 39.472775], [-0.379916, 39.472777], [-0.37988, 39.472774], [-0.379842, 39.472762], [-0.379762, 39.47271], [-0.379752, 39.472493], [-0.379751, 39.472448], [-0.379749, 39.472397], [-0.379732, 39.472026], [-0.37973, 39.471963], [-0.379728, 39.471909], [-0.379711, 39.471371], [-0.379709, 39.471324], [-0.379707, 39.471242], [-0.379705, 39.471216], [-0.379691, 39.470971], [-0.379686, 39.470883], [-0.379684, 39.470846], [-0.37968, 39.470746], [-0.379665, 39.470315], [-0.379663, 39.470195], [-0.379653, 39.469852], [-0.379649, 39.469774], [-0.379624, 39.46963], [-0.379602, 39.469032], [-0.379592, 39.468955], [-0.379565, 39.468909], [-0.379551, 39.468886], [-0.379513, 39.468858], [-0.379427, 39.468811], [-0.379296, 39.468784], [-0.378516, 39.468635], [-0.378497, 39.468631]]"
Falla Ribera-Convento Santa Clara,Falla Convento Jerusalén-Matemático Marzal,800.0,"[[-0.378497, 39.468631], [-0.377956, 39.468522], [-0.377751, 39.468481], [-0.377192, 39.468365], [-0.377093, 39.468344], [-0.376987, 39.468324], [-0.377041, 39.467924], [-0.377057, 39.467815], [-0.377075, 39.467761], [-0.377099, 39.467683], [-0.377121, 39.467601], [-0.377307, 39.467651], [-0.377687, 39.467745], [-0.377775, 39.467765], [-0.377841, 39.46778], [-0.377884, 39.467782], [-0.37798, 39.467778], [-0.378067, 39.467783], [-0.378095, 39.467789], [-0.378155, 39.467803], [-0.378606, 39.467919], [-0.378733, 39.467955], [-0.378816, 39.467982], [-0.378889, 39.467919], [-0.378917, 39.467869], [-0.379465, 39.466589], [-0.379529, 39.46644], [-0.379601, 39.466284], [-0.379837, 39.465756], [-0.380395, 39.465892], [-0.380478, 39.465888], [-0.380445, 39.465964], [-0.380201, 39.466546], [-0.38019, 39.466602], [-0.380129, 39.466587], [-0.379878, 39.466528]]"
Falla Convento Jerusalén-Matemático Marzal,Falla Jerónima Galés-Litógrafo Pascual y Abad,2849.1,"[[-0.379878, 39.466528], [-0.379727, 39.466493], [-0.379529, 39.46644], [-0.379601, 39.466284], [-0.379837, 39.465756], [-0.380066, 39.465223], [-0.380112, 39.465115], [-0.380163, 39.465001], [-0.380296, 39.464723], [-0.380354, 39.464583], [-0.380379, 39.464525], [-0.380408, 39.464477], [-0.380439, 39.464456], [-0.380494, 39.464431], [-0.380532, 39.46442], [-0.380573, 39.464421], [-0.380612, 39.464441], [-0.380648, 39.464476], [-0.380685, 39.464504], [-0.380815, 39.46467], [-0.380851, 39.464705], [-0.380889, 39.464738], [-0.380942, 39.464829], [-0.381061, 39.465], [-0.381348, 39.465405], [-0.381372, 39.465437], [-0.381449, 39.465544], [-0.381571, 39.465726], [-0.381598, 39.465761], [-0.381645, 39.465828], [-0.381725, 39.465947], [-0.381762, 39.466], [-0.38177, 39.466011], [-0.382263, 39.466713], [-0.382383, 39.466896], [-0.382396, 39.466916], [-0.382533, 39.467125], [-0.382564, 39.467172], [-0.382716, 39.466994], [-0.382784, 39.466917], [-0.382898, 39.466785], [-0.383536, 39.466048], [-0.383585, 39.465989], [-0.383622, 39.465947], [-0.383652, 39.465913], [-0.38371, 39.465848], [-0.383872, 39.465657], [-0.384089, 39.465405], [-0.384685, 39.464722], [-0.384886, 39.464482], [-0.385055, 39.464293], [-0.385173, 39.46415], [-0.385209, 39.464108], [-0.385288, 39.464016], [-0.385588, 39.463673], [-0.385636, 39.463619], [-0.385764, 39.46348], [-0.385959, 39.463267], [-0.386292, 39.462879], [-0.386424, 39.462725], [-0.386458, 39.462687], [-0.386512, 39.46262], [-0.386595, 39.462512], [-0.386624, 39.462479], [-0.386676, 39.462417], [-0.38671, 39.462376], [-0.386788, 39.462303], [-0.386846, 39.46225], [-0.386887, 39.4622], [-0.387337, 39.46166], [-0.387482, 39.461486], [-0.38808, 39.4608], [-0.388316, 39.460522], [-0.388368, 39.46045], [-0.38839, 39.460406], [-0.388392, 39.460364], [-0.388391, 39.460351], [-0.388387, 39.460323], [-0.388234, 39.459646], [-0.388282, 39.45956], [-0.388348, 39.459504], [-0.388363, 39.459481], [-0.388584, 39.459141], [-0.388659, 39.459027], [-0.388842, 39.458758], [-0.389055, 39.458444], [-0.3891, 39.458376], [-0.389382, 39.457959], [-0.389456, 39.45785], [-0.389527, 39.457744], [-0.389661, 39.457545], [-0.389925, 39.457138], [-0.390261, 39.456642], [-0.390413, 39.45641], [-0.390453, 39.456302], [-0.390652, 39.455999], [-0.390738, 39.455875], [-0.390894, 39.455642], [-0.391035, 39.455436], [-0.391331, 39.454997], [-0.391457, 39.454802], [-0.391731, 39.454399], [-0.391763, 39.454348], [-0.391805, 39.454285], [-0.39197, 39.454036], [-0.392197, 39.453689], [-0.392424, 39.453353], [-0.392596, 39.453105], [-0.392716, 39.452925], [-0.392863, 39.452708], [-0.392924, 39.45262], [-0.393186, 39.452226], [-0.393426, 39.451868], [-0.393511, 39.451736], [-0.393772, 39.451336], [-0.394011, 39.450985], [-0.394341, 39.450501], [-0.394445, 39.450548], [-0.39464, 39.450621], [-0.39467, 39.450629], [-0.394691, 39.450643], [-0.394702, 39.450659], [-0.394647, 39.450924], [-0.394648, 39.450951], [-0.394657, 39.450973], [-0.394681, 39.450992], [-0.394791, 39.451006], [-0.394822, 39.451006]]"
Falla Jerónima Galés-Litógrafo Pascual y Abad,Falla Arzobispo Olaechea-San Marcelino,1368.3,"[[-0.394822, 39.451006], [-0.394844, 39.451], [-0.394861, 39.45099], [-0.39487, 39.450978], [-0.394918, 39.450726], [-0.39492, 39.450709], [-0.394917, 39.450694], [-0.394902, 39.450677], [-0.39489, 39.450672], [-0.394752, 39.450619], [-0.394739, 39.450618], [-0.394727, 39.450621], [-0.394709, 39.450625], [-0.394687, 39.450631], [-0.39467, 39.450629], [-0.39464, 39.450621], [-0.394445, 39.450548], [-0.394341, 39.450501], [-0.394428, 39.450372], [-0.394605, 39.450182], [-0.394628, 39.450151], [-0.394639, 39.450134], [-0.394667, 39.450105], [-0.394712, 39.450081], [-0.394763, 39.450066], [-0.39484, 39.450052], [-0.394891, 39.450034], [-0.394945, 39.45], [-0.394989, 39.449958], [-0.395071, 39.44983], [-0.394684, 39.449538], [-0.394563, 39.449445], [-0.393397, 39.448551], [-0.392769, 39.448066], [-0.392665, 39.447989], [-0.392585, 39.447934], [-0.392485, 39.447872], [-0.392387, 39.447816], [-0.392352, 39.4478], [-0.392082, 39.447694], [-0.390437, 39.447316], [-0.390403, 39.447309], [-0.39025, 39.447276], [-0.390227, 39.447152], [-0.390209, 39.447113], [-0.390189, 39.447089], [-0.390168, 39.447064], [-0.390146, 39.447047], [-0.390077, 39.446993], [-0.390072, 39.446886], [-0.390074, 39.446849], [-0.390097, 39.446779], [-0.390105, 39.446759], [-0.390276, 39.446327], [-0.390286, 39.44623], [-0.390295, 39.446143], [-0.390502, 39.445606], [-0.390525, 39.445547], [-0.390778, 39.444897], [-0.390799, 39.444872], [-0.390835, 39.444824], [-0.39115, 39.444005], [-0.39116, 39.44399], [-0.391165, 39.443984], [-0.391188, 39.443971], [-0.391217, 39.443962], [-0.391255, 39.443957], [-0.392204, 39.444181], [-0.392232, 39.444113], [-0.392602, 39.44318], [-0.392851, 39.44324], [-0.393309, 39.443346]]"
Falla Arzobispo Olaechea-San Marcelino,Falla Cuba-Literato Azorín,3633.2,"[[-0.393309, 39.443346], [-0.392851, 39.44324], [-0.392602, 39.44318], [-0.39181, 39.442994], [-0.391278, 39.442869], [-0.391191, 39.442849], [-0.390518, 39.44269], [-0.390408, 39.442677], [-0.390468, 39.442505], [-0.390493, 39.442379], [-0.39047, 39.442246], [-0.390402, 39.442118], [-0.390394, 39.442065], [-0.390385, 39.442004], [-0.390383, 39.441979], [-0.390378, 39.441886], [-0.390387, 39.441873], [-0.390407, 39.441835], [-0.390416, 39.441794], [-0.390415, 39.441753], [-0.390403, 39.441713], [-0.390381, 39.441675], [-0.390366, 39.44166], [-0.390349, 39.441642], [-0.390308, 39.441613], [-0.390261, 39.441592], [-0.390208, 39.441578], [-0.390153, 39.441574], [-0.390098, 39.441578], [-0.390046, 39.44159], [-0.389998, 39.441611], [-0.389958, 39.441638], [-0.389925, 39.441671], [-0.389901, 39.441709], [-0.389888, 39.44175], [-0.389817, 39.441764], [-0.389732, 39.441781], [-0.389537, 39.441814], [-0.388477, 39.441967], [-0.388382, 39.44196], [-0.388302, 39.441945], [-0.388287, 39.44193], [-0.38827, 39.441916], [-0.388227, 39.441889], [-0.388178, 39.441869], [-0.388125, 39.441857], [-0.38807, 39.441854], [-0.388004, 39.441862], [-0.387943, 39.441881], [-0.387889, 39.441911], [-0.387846, 39.441951], [-0.387824, 39.441983], [-0.387809, 39.442019], [-0.387802, 39.442055], [-0.387804, 39.442092], [-0.387814, 39.442128], [-0.387832, 39.442163], [-0.387857, 39.442194], [-0.38789, 39.44228], [-0.387908, 39.442342], [-0.387912, 39.442412], [-0.387907, 39.442468], [-0.387724, 39.442906], [-0.387678, 39.443081], [-0.387555, 39.443391], [-0.387542, 39.443426], [-0.387188, 39.444313], [-0.386793, 39.445328], [-0.386768, 39.445409], [-0.386645, 39.445702], [-0.38657, 39.445776], [-0.386472, 39.445815], [-0.386387, 39.445846], [-0.386329, 39.445879], [-0.386261, 39.44596], [-0.386237, 39.446006], [-0.386175, 39.446167], [-0.386159, 39.446207], [-0.386145, 39.446244], [-0.386119, 39.446311], [-0.386067, 39.446453], [-0.386032, 39.446539], [-0.385985, 39.446661], [-0.385969, 39.446705], [-0.385955, 39.446746], [-0.385934, 39.44681], [-0.385935, 39.446884], [-0.385963, 39.446938], [-0.385989, 39.446975], [-0.386, 39.446991], [-0.38602, 39.44702], [-0.386035, 39.447039], [-0.386049, 39.447084], [-0.386051, 39.447117], [-0.386042, 39.447168], [-0.385999, 39.447292], [-0.385976, 39.447334], [-0.385907, 39.447447], [-0.38585, 39.447557], [-0.38578, 39.447682], [-0.385737, 39.447786], [-0.385695, 39.447893], [-0.385664, 39.447972], [-0.385656, 39.448021], [-0.385645, 39.448142], [-0.385576, 39.448525], [-0.385504, 39.448737], [-0.385465, 39.448855], [-0.385441, 39.448926], [-0.385267, 39.449487], [-0.385259, 39.449522], [-0.384936, 39.451091], [-0.384868, 39.451416], [-0.384849, 39.451515], [-0.384743, 39.45203], [-0.384663, 39.45243], [-0.384641, 39.452547], [-0.384622, 39.45265], [-0.384447, 39.45351], [-0.384398, 39.453748], [-0.384383, 39.453837], [-0.384268, 39.454415], [-0.38423, 39.454612], [-0.38416, 39.454969], [-0.384135, 39.455079], [-0.383919, 39.456114], [-0.383913, 39.45614], [-0.383897, 39.456213], [-0.383877, 39.456284], [-0.383683, 39.456993], [-0.383596, 39.457133], [-0.383458, 39.457194], [-0.383355, 39.457215], [-0.383233, 39.457216], [-0.383124, 39.457189], [-0.382459, 39.456282], [-0.38233, 39.456113], [-0.382248, 39.456023], [-0.382143, 39.455919], [-0.381975, 39.455779], [-0.381885, 39.455713], [-0.381802, 39.455657], [-0.381676, 39.455583], [-0.381525, 39.455507], [-0.381382, 39.455445], [-0.381241, 39.455394], [-0.38113, 39.45536], [-0.380971, 39.455319], [-0.380791, 39.455284], [-0.380662, 39.455265], [-0.380447, 39.455248], [-0.380262, 39.455243], [-0.380039, 39.455252], [-0.379833, 39.455278], [-0.379555, 39.45533], [-0.379177, 39.455449], [-0.377992, 39.455937], [-0.377097, 39.456306], [-0.376723, 39.456451], [-0.376677, 39.456455], [-0.376346, 39.456578], [-0.376303, 39.456594], [-0.376117, 39.456686], [-0.376046, 39.456636], [-0.375963, 39.456599], [-0.375871, 39.456577], [-0.375768, 39.456569], [-0.375669, 39.456574], [-0.375577, 39.456597], [-0.375494, 39.456635], [-0.375422, 39.456685], [-0.375365, 39.456745], [-0.375353, 39.456763], [-0.37532, 39.45683], [-0.375306, 39.456887], [-0.375305, 39.45695], [-0.375314, 39.456999], [-0.375332, 39.457047], [-0.37536, 39.457094], [-0.375396, 39.457138], [-0.375439, 39.457176], [-0.375489, 39.457209], [-0.375544, 39.457237], [-0.375604, 39.457258], [-0.375668, 39.457272], [-0.375733, 39.45728], [-0.375827, 39.457368], [-0.375872, 39.45742], [-0.375902, 39.457452], [-0.376258, 39.457909], [-0.376357, 39.458027], [-0.376509, 39.458207], [-0.376796, 39.458533], [-0.377168, 39.459005], [-0.377255, 39.459115], [-0.377122, 39.459171], [-0.376415, 39.459471]]"
Falla Cuba-Literato Azorín,Falla Sueca-Literato Azorín,720.0,"[[-0.376415, 39.459471], [-0.375585, 39.459823], [-0.375544, 39.459839], [-0.375087, 39.4592], [-0.374652, 39.458583], [-0.374842, 39.458499], [-0.376164, 39.457948], [-0.376258, 39.457909], [-0.376357, 39.458027], [-0.376509, 39.458207], [-0.376796, 39.458533], [-0.377168, 39.459005], [-0.377255, 39.459115], [-0.377318, 39.459204], [-0.377671, 39.459707], [-0.377536, 39.459765], [-0.376813, 39.460076]]"
Falla Sueca-Literato Azorín,Falla Regne de Valencia-Duque de Calabria,1024.4,"[[-0.376813, 39.460076], [-0.376031, 39.460412], [-0.376001, 39.460423], [-0.375966, 39.46044], [-0.375544, 39.459839], [-0.374315, 39.460347], [-0.372945, 39.460917], [-0.372767, 39.460994], [-0.371657, 39.461466], [-0.371547, 39.4615], [-0.371281, 39.461598], [-0.370787, 39.461811], [-0.370686, 39.461865], [-0.370607, 39.461904], [-0.369769, 39.462254], [-0.36878, 39.462663], [-0.36788, 39.463051], [-0.367792, 39.463088], [-0.367712, 39.463124], [-0.367241, 39.463333], [-0.367218, 39.463354], [-0.367206, 39.463382], [-0.367201, 39.463413], [-0.367199, 39.463443], [-0.367198, 39.46349], [-0.3672, 39.463516], [-0.367196, 39.463537], [-0.367178, 39.463577], [-0.367161, 39.463603], [-0.367145, 39.463617], [-0.367119, 39.46363], [-0.367101, 39.463638], [-0.367064, 39.463655], [-0.367007, 39.463677], [-0.366965, 39.463682], [-0.366953, 39.46368]]"
Falla Regne de Valencia-Duque de Calabria,Falla Císcar-Burriana,563.1,"[[-0.366953, 39.46368], [-0.366923, 39.463676], [-0.366898, 39.46367], [-0.366712, 39.463631], [-0.366664, 39.463621], [-0.36662, 39.46362], [-0.366578, 39.463622], [-0.366537, 39.463632], [-0.366384, 39.463693], [-0.365672, 39.463989], [-0.36527, 39.463417], [-0.365304, 39.463401], [-0.36537, 39.463333], [-0.365392, 39.463309], [-0.365424, 39.463274], [-0.366356, 39.463474], [-0.366491, 39.463503], [-0.366926, 39.4636], [-0.366947, 39.463605], [-0.367101, 39.463638], [-0.367064, 39.463655], [-0.366995, 39.463711], [-0.36697, 39.463741], [-0.366966, 39.463762], [-0.366968, 39.463786], [-0.367603, 39.464739], [-0.36793, 39.465201]]"
Falla Císcar-Burriana,Falla Maestro Gozalbo-Conde de Altea,639.1,"[[-0.36793, 39.465201], [-0.36839, 39.465851], [-0.369016, 39.466732], [-0.368892, 39.466785], [-0.368982, 39.466933], [-0.369066, 39.467069], [-0.369232, 39.466999], [-0.369354, 39.466948], [-0.369505, 39.466884], [-0.369956, 39.466694], [-0.370105, 39.466631], [-0.370247, 39.466572], [-0.370383, 39.466516], [-0.370527, 39.466456], [-0.370957, 39.466275], [-0.371081, 39.466222], [-0.371245, 39.466151], [-0.37142, 39.466074], [-0.371564, 39.466012], [-0.371943, 39.465847], [-0.372075, 39.465789], [-0.37222, 39.465726], [-0.372385, 39.465654], [-0.372303, 39.465535], [-0.372215, 39.465407], [-0.372062, 39.465469], [-0.371921, 39.46526]]"
Falla Maestro Gozalbo-Conde de Altea,Falla Almirante Cadarso-Conde de Altea,540.1,"[[-0.371921, 39.46526], [-0.371633, 39.46483], [-0.37156, 39.464718], [-0.371527, 39.46467], [-0.371498, 39.464636], [-0.371475, 39.464612], [-0.371451, 39.464588], [-0.371428, 39.464555], [-0.371378, 39.464488], [-0.371321, 39.46441], [-0.369892, 39.464101], [-0.369867, 39.464105], [-0.369852, 39.464118], [-0.369847, 39.464133], [-0.369853, 39.464154], [-0.369864, 39.464168], [-0.369901, 39.464219], [-0.369925, 39.464255], [-0.36998, 39.464329], [-0.370428, 39.464989], [-0.369412, 39.465419], [-0.368475, 39.465815]]"
Falla Almirante Cadarso-Conde de Altea,Falla Conde de Salvatierra-Cirilo Amorós-Mercat de Colón,413.3,"[[-0.368475, 39.465815], [-0.36839, 39.465851], [-0.369016, 39.466732], [-0.368892, 39.466785], [-0.368982, 39.466933], [-0.369066, 39.467069], [-0.369232, 39.466999], [-0.369326, 39.467141], [-0.369794, 39.467848], [-0.36989, 39.467992], [-0.369991, 39.468135], [-0.370488, 39.468827]]"
Falla Conde de Salvatierra-Cirilo Amorós-Mercat de Colón,Falla Grabador Esteve-Cirilo Amorós,1127.2,"[[-0.370488, 39.468827], [-0.371051, 39.469611], [-0.3711, 39.469678], [-0.371145, 39.469712], [-0.371899, 39.469186], [-0.371932, 39.469163], [-0.372039, 39.469089], [-0.371973, 39.469039], [-0.371957, 39.469017], [-0.37102, 39.467695], [-0.370921, 39.467555], [-0.370759, 39.467624], [-0.370073, 39.467914], [-0.36989, 39.467992], [-0.369721, 39.468063], [-0.368985, 39.468375], [-0.368795, 39.468455], [-0.368376, 39.468632], [-0.36765, 39.46894], [-0.367737, 39.469064], [-0.367986, 39.469416], [-0.368069, 39.469532], [-0.368581, 39.470257], [-0.369863, 39.470261], [-0.369939, 39.470241], [-0.369974, 39.470216], [-0.369988, 39.470171], [-0.369433, 39.469376]]"
Falla Grabador Esteve-Cirilo Amorós,Falla Exposición-Misser Mascó,1492.4,"[[-0.369433, 39.469376], [-0.369121, 39.468928], [-0.368893, 39.468594], [-0.368795, 39.468455], [-0.368376, 39.468632], [-0.36765, 39.46894], [-0.36748, 39.469012], [-0.366499, 39.469427], [-0.365402, 39.469892], [-0.365342, 39.469917], [-0.365217, 39.46996], [-0.365155, 39.46997], [-0.365051, 39.469976], [-0.365006, 39.469963], [-0.364943, 39.469959], [-0.364905, 39.469965], [-0.364866, 39.469982], [-0.364842, 39.470003], [-0.364823, 39.470025], [-0.36482, 39.470054], [-0.364826, 39.470091], [-0.364923, 39.470244], [-0.364949, 39.470281], [-0.365058, 39.470432], [-0.365155, 39.470604], [-0.365166, 39.470633], [-0.365167, 39.470656], [-0.365158, 39.470679], [-0.365127, 39.470713], [-0.365082, 39.470736], [-0.363567, 39.47142], [-0.363412, 39.47149], [-0.36337, 39.471509], [-0.363194, 39.471586], [-0.363095, 39.471664], [-0.362849, 39.471784], [-0.362796, 39.471806], [-0.362726, 39.471829], [-0.362676, 39.471836], [-0.362625, 39.471844], [-0.362496, 39.471903], [-0.362264, 39.472013], [-0.361684, 39.472288], [-0.360529, 39.472852], [-0.360421, 39.4729], [-0.360293, 39.472956], [-0.360232, 39.472986], [-0.360181, 39.473017], [-0.360145, 39.473047], [-0.360054, 39.473143], [-0.360029, 39.473178], [-0.360003, 39.473219], [-0.359998, 39.473226], [-0.359863, 39.473533], [-0.35977, 39.473755], [-0.359562, 39.474189], [-0.359502, 39.474302], [-0.359462, 39.474353], [-0.359424, 39.474394], [-0.359412, 39.474444], [-0.359425, 39.474484], [-0.35945, 39.474509], [-0.359482, 39.474538], [-0.359504, 39.474558], [-0.359562, 39.474584], [-0.359583, 39.474592], [-0.359622, 39.474607], [-0.35999, 39.474711], [-0.360071, 39.474735], [-0.360861, 39.474964], [-0.360965, 39.474993], [-0.361095, 39.47503], [-0.361127, 39.47504], [-0.36188, 39.475256]]"
Falla Exposición-Misser Mascó,Falla Duc de Gaeta-Pobla de Farnals,1838.4,"[[-0.36188, 39.475256], [-0.361933, 39.475271], [-0.362009, 39.475292], [-0.362036, 39.475232], [-0.362054, 39.475194], [-0.362199, 39.474884], [-0.362297, 39.474676], [-0.362625, 39.473976], [-0.362669, 39.473882], [-0.362583, 39.473858], [-0.362375, 39.473799], [-0.361861, 39.473654], [-0.36168, 39.473602], [-0.361652, 39.473594], [-0.361075, 39.473429], [-0.360956, 39.473395], [-0.360845, 39.473364], [-0.360755, 39.473299], [-0.36072, 39.473268], [-0.360703, 39.473248], [-0.360672, 39.473212], [-0.360482, 39.472988], [-0.360444, 39.472933], [-0.360421, 39.4729], [-0.360359, 39.472827], [-0.359698, 39.472074], [-0.359569, 39.471969], [-0.35904, 39.471686], [-0.358885, 39.47159], [-0.358433, 39.471461], [-0.358398, 39.471451], [-0.358248, 39.471413], [-0.357773, 39.47138], [-0.357741, 39.471447], [-0.357728, 39.471471], [-0.357373, 39.472179], [-0.357352, 39.472218], [-0.357315, 39.472291], [-0.357224, 39.472264], [-0.357189, 39.472254], [-0.356671, 39.472107], [-0.356445, 39.472038], [-0.356053, 39.47192], [-0.355758, 39.471832], [-0.355618, 39.47179], [-0.354838, 39.471559], [-0.354788, 39.471518], [-0.354759, 39.471482], [-0.354738, 39.471441], [-0.354733, 39.471387], [-0.354713, 39.47134], [-0.354685, 39.471303], [-0.354635, 39.471272], [-0.354604, 39.471269], [-0.354564, 39.471264], [-0.354507, 39.471267], [-0.354386, 39.471281], [-0.354245, 39.471313], [-0.354141, 39.471353], [-0.353986, 39.471301], [-0.35335, 39.471118], [-0.35247, 39.470858], [-0.35116, 39.470471], [-0.34973, 39.47005], [-0.349693, 39.470037], [-0.349631, 39.470015], [-0.349581, 39.46998], [-0.349577, 39.46996], [-0.34961, 39.469856], [-0.349615, 39.469846], [-0.349869, 39.469246], [-0.349893, 39.46919], [-0.349947, 39.469064], [-0.350058, 39.469098], [-0.350456, 39.469219], [-0.350957, 39.469372], [-0.351278, 39.468592]]"
Falla Duc de Gaeta-Pobla de Farnals,Falla Islas Canarias-Trafalgar-Samuel Ros,925.4,"[[-0.351278, 39.468592], [-0.351427, 39.468231], [-0.351434, 39.468212], [-0.351435, 39.468142], [-0.350569, 39.467883], [-0.350532, 39.467872], [-0.35044, 39.46785], [-0.350485, 39.467736], [-0.350639, 39.467392], [-0.351318, 39.465724], [-0.351336, 39.46568], [-0.351346, 39.465649], [-0.351395, 39.465528], [-0.351249, 39.465484], [-0.351178, 39.465465], [-0.351028, 39.46542], [-0.35034, 39.465215], [-0.350287, 39.465199], [-0.350181, 39.465168], [-0.350018, 39.46512], [-0.349573, 39.464987], [-0.348787, 39.464753], [-0.348748, 39.464742], [-0.348691, 39.464725], [-0.348513, 39.464671], [-0.348098, 39.464549], [-0.348056, 39.464536], [-0.347893, 39.464487], [-0.347992, 39.464407], [-0.348087, 39.464328], [-0.348155, 39.464269], [-0.348205, 39.464284], [-0.348639, 39.464412], [-0.34877, 39.464451], [-0.34887, 39.46448], [-0.348917, 39.464382], [-0.349242, 39.463727]]"
Falla Islas Canarias-Trafalgar-Samuel Ros,Falla Justo Vilar-Mercado del Cabañal,2036.3,"[[-0.349242, 39.463727], [-0.349429, 39.46335], [-0.349461, 39.463283], [-0.348181, 39.4629], [-0.348081, 39.462868], [-0.348043, 39.462948], [-0.347753, 39.463535], [-0.347595, 39.463855], [-0.347537, 39.46397], [-0.347525, 39.463995], [-0.347486, 39.464069], [-0.34768, 39.464128], [-0.347999, 39.464223], [-0.348066, 39.464243], [-0.348155, 39.464269], [-0.348205, 39.464284], [-0.348639, 39.464412], [-0.348561, 39.464572], [-0.348513, 39.464671], [-0.348098, 39.464549], [-0.348056, 39.464536], [-0.347893, 39.464487], [-0.347503, 39.464372], [-0.347453, 39.464357], [-0.347305, 39.464313], [-0.347236, 39.464293], [-0.347192, 39.46428], [-0.34657, 39.464095], [-0.346499, 39.464074], [-0.346395, 39.464044], [-0.346318, 39.46402], [-0.34618, 39.463979], [-0.34598, 39.463919], [-0.345529, 39.463785], [-0.345466, 39.463767], [-0.345309, 39.46372], [-0.344183, 39.463385], [-0.344141, 39.463373], [-0.344024, 39.463338], [-0.343027, 39.463042], [-0.342929, 39.463013], [-0.342882, 39.462999], [-0.342719, 39.46295], [-0.341682, 39.462642], [-0.341632, 39.462627], [-0.341528, 39.462596], [-0.341487, 39.46268], [-0.341476, 39.462702], [-0.341397, 39.462863], [-0.341318, 39.463024], [-0.341173, 39.463319], [-0.340744, 39.464194], [-0.340483, 39.464727], [-0.340214, 39.465271], [-0.340177, 39.465352], [-0.340156, 39.465393], [-0.340145, 39.465414], [-0.339954, 39.465795], [-0.339372, 39.466993], [-0.33933, 39.46709], [-0.339314, 39.467176], [-0.339299, 39.467253], [-0.339153, 39.46756], [-0.339107, 39.467653], [-0.33906, 39.467753], [-0.338965, 39.467955], [-0.338912, 39.467939], [-0.338853, 39.467922], [-0.337, 39.467386], [-0.336927, 39.467365], [-0.336875, 39.467345], [-0.336831, 39.467332], [-0.336151, 39.467133], [-0.335728, 39.46701]]"
